sampleID	condition	resistance	species	batch	country	counting_method	study
Fang1	Fang	susceptible	funestus	7	Angola	Subread + featureCounts	mc_wondji
Fang2	Fang	susceptible	funestus	7	Angola	Subread + featureCounts	mc_wondji
Fang3	Fang	susceptible	funestus	7	Angola	Subread + featureCounts	mc_wondji
Fumoz1	Fumoz	resistant	funestus	7	Mozambique	Subread + featureCounts	mc_wondji
Fumoz2	Fumoz	resistant	funestus	7	Mozambique	Subread + featureCounts	mc_wondji
Fumoz3	Fumoz	resistant	funestus	7	Mozambique	Subread + featureCounts	mc_wondji
Fumoz4	Fumoz	resistant	funestus	7	Mozambique	Subread + featureCounts	mc_wondji
Fumoz5	Fumoz	resistant	funestus	7	Mozambique	Subread + featureCounts	mc_wondji
Ghana_fun1	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun2	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun3	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun4	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun5	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun6	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun7	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun8	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun9	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Ghana_fun10	Ghana_fun	resistant	funestus	7	Ghana	Subread + featureCounts	mc_wondji
Malawi_fun1	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun2	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun3	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun4	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun5	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun6	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun7	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun8	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun9	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Malawi_fun10	Malawi_fun	resistant	funestus	7	Malawi	Subread + featureCounts	mc_wondji
Uganda_fun1	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun2	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun3	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun4	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun5	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun6	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun7	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun8	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
Uganda_fun9	Uganda_fun	resistant	funestus	7	Uganda	Subread + featureCounts	mc_wondji
