GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN008679	0.88	1.42	1.03	1.0	1.04
AFUN003382	0.71	0.51	0.62	0.55	0.69
AFUN001466	0.79	1.06	0.66	0.8	0.54
AFUN005960	0.84	1.0	0.73	0.86	0.8
AFUN009193	-1.63	-1.75	-1.75	-1.68	-1.85
AFUN002342	-1.98	-2.05	-0.99	-0.19	-0.94
AFUN002942	1.0	1.0	0.82	0.61	0.45
AFUN002097	2.07	1.85	0.8	1.67	1.29
AFUN021329	0.57	0.53	0.5	0.6	0.5
AFUN004171	-1.23	-1.18	-1.42	-1.25	-1.16
AFUN000343	0.97	0.9	0.64	0.84	0.78
AFUN022126	0.77	0.4	0.56	0.5	0.54
AFUN002647	0.78	0.58	0.55	0.51	0.52
AFUN007320	0.85	1.11	0.71	0.65	0.78
AFUN019083	-1.94	-2.04	-2.47	-2.4	-2.59
AFUN015809	2.21	1.44	3.01	1.1	1.66
AFUN020075	-1.04	-0.41	-0.64	-0.73	-0.8
AFUN019138	0.82	-0.32	0.35	-0.13	0.37
AFUN011825	-1.79	-1.19	-2.12	-2.14	-2.04
AFUN011645	0.75	0.57	0.5	0.55	0.52
AFUN018732	1.17	0.92	0.81	0.97	0.93
AFUN003412	0.76	0.74	0.61	0.66	0.62
AFUN018869	-2.29	-1.32	-1.56	-1.29	-2.19
AFUN008714	1.14	1.02	0.99	1.1	0.98
AFUN001217	1.42	1.37	1.03	1.39	1.09
AFUN007559	0.87	0.62	0.69	0.52	0.72
AFUN006922	-1.06	-0.63	-0.82	-0.96	-1.04
AFUN019184	2.01	3.19	1.72	2.02	1.8
AFUN018993	-1.21	-1.18	-1.35	-1.24	-1.29
AFUN001800	1.3	1.07	0.69	0.93	0.75
AFUN005024	0.91	0.9	0.47	0.74	0.65
AFUN001823	0.94	-1.71	0.76	0.45	0.65
AFUN022018	1.03	0.13	0.96	0.93	0.98
AFUN021767	0.95	0.58	0.85	0.78	0.88
AFUN010674	0.97	0.79	0.44	0.7	0.49
AFUN019490	-1.56	-0.64	-1.47	-1.22	-1.31
AFUN005666	0.49	0.07	0.33	0.39	0.38
AFUN000108	-1.87	-1.38	-1.25	-1.17	-1.37
AFUN022295	-0.87	-0.51	-0.49	-0.5	-0.48
