GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP010193	0.59	0.45	-0.24	0.06	-0.31	0.3	0.88	1.16	1.65	0.07	1.44	0.44	1.79	0.11	1.49	0.23	-0.47	-1.31	0.91	0.34	1.1	0.51	1.13
AGAP011673	-0.31	0.13	0.18	-0.02	0.23	-0.22	-0.15	-0.04	0.05	0.27	-0.07	0.18	-0.18	0.17	-0.17	0.08	-0.02	-0.05	0.19	-0.26	0.21	0.34	-0.62
AGAP007001	-0.2	-0.12	-0.18	-0.19	-0.16	-0.23	-0.13	-0.07	-0.05	-0.12	-0.18	-0.07	-0.15	0.04	-0.02	-0.25	-0.1	0.07	0.61	0.42	0.72	0.35	0.1
AGAP012018	0.2	0.11	0.4	-0.18	0.1	0.16	-0.05	-0.21	-0.1	-0.93	0.22	-0.82	0.3	-1.09	0.06	0.39	0.76	-0.41	1.9	0.45	1.02	0.28	-0.23
AGAP013750	1.88	1.12	-1.01	-1.09	-1.01	-4.09	-4.99	-1.58	-0.9	0.33	0.93	0.39	0.98	-0.01		0.19	0.72	0.57			5.88	-0.23	1.47
AGAP008325	0.23	0.06	0.32	0.43	0.88	0.09	-0.23	0.35	0.51	-0.32	-0.53	-0.76	-0.98	-0.44	-0.65	0.29	-0.27	0.71	-0.32	-0.11	-0.55	0.02	-0.62
AGAP002547	0.31	0.19	0.02	-0.09	0.1	0.2	-0.04	0.11	0.28	-0.05	-0.21	-0.22	-0.4	0.06	-0.1	0.24	-0.03	-0.41	-0.45	-0.42	-0.42	-0.22	-0.34
AGAP008760	0.22	0.23	0.06	-0.45	0.02	0.63	0.39	0.19	0.27	-0.02	-0.55	-0.12	-0.66	0.27	-0.25	0.11	0.02	-0.28	-0.11	0.38	-0.26	0.11	0.06
AGAP009875	-1.19	-0.38	-0.81	-0.81	-0.92	-0.85	0.52	1.11	1.04	1.94	0.53	3.1	1.69	2.85	1.43	-1.07	-2.15	0.53	2.31	1.16	2.75	1.99	1.88
AGAP000310	0.17	-0.39	-0.01	-0.02	-0.45	0.17	0.87	0.22	0.48	-0.1	-0.31	-0.03	-0.25	-0.33	-0.53	-0.03	-0.12	0.1	0.33	0.32	0.17	0.57	0.66
AGAP005944	0.45	1.04	-0.38	-0.62	-0.53	0.21	0.01	0.56	0.65	-0.04	-1.97	1.06	-0.89	0.21	-1.71	1.06	1.3	0.23	0.12	-0.69	0.63	-0.93	1.22
AGAP028677	0.57	0.95	0.59	0.0	-0.59	0.83	0.5	0.2	0.59	0.24	-1.2	-1.19	-2.64	-0.26	-1.69	-0.01	1.58	-0.33	-0.65	-0.59	-0.41	0.37	0.81
