GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP005966	3.41	-0.04	-1.66	-1.9	-0.64	0.68	-0.92	0.42	-0.32	1.56	-1.49	1.27	-1.8	1.88	-1.15	1.84	-0.56	0.15
AGAP028094	-0.59	-1.03	-1.0	-1.1	-0.37	1.01	-0.13	0.32	0.34	-1.03	0.58	-1.13	0.45	-1.81	-0.2	-0.04	-0.32	1.06
AGAP002317	0.52	0.34	-0.16	1.08	0.07	-0.54	0.44	0.46	0.44	0.62	-1.67	0.65	-1.65	0.35	-1.94	-0.13	0.01	0.23
AGAP009875	-1.2	-0.38	-0.8	-0.81	-0.93	-0.86	0.51	1.11	1.04	1.95	0.52	3.11	1.68	2.86	1.42	-1.07	-2.16	0.54
AGAP003294	-0.27	-0.32	0.12	-0.32	0.2	0.05	0.03	-0.17	0.05	0.76	8.73	0.36	8.32	0.24	8.21	-0.13	-0.13	0.17
AGAP004140	0.19	-0.13	-0.01	-0.14	-0.24	0.02	0.0	-0.38	-0.34	-0.47	-0.49	-0.3	-0.33	-0.41	-0.43	0.28	0.12	0.0
AGAP004878	0.41	0.14	-0.64	0.14	0.03	0.01	-0.21	-0.29	-0.25	0.05	0.68	0.47	1.09	0.67	1.31	0.14	-0.29	-1.12
AGAP010253	-0.25	0.14	0.18	-0.09	-0.14	-0.08	0.2	0.23	0.54	0.04	0.21	0.01	0.16	0.08	0.25	-0.25	-0.17	0.0
AGAP006537	1.29	0.58	-1.11	0.52	0.27	-0.19	-1.39	-0.75	-1.04	0.2	1.48	0.26	1.54	0.31	1.59	0.16	0.74	-1.74
AGAP010159	-0.39	-0.13	0.46	-0.91	-0.47	-0.61	-0.73	-0.96	-0.87	0.59	-1.42	0.42	-1.61	0.59	-1.43	-0.81	-0.87	0.01
AGAP008944	0.18	0.33	-0.09	-0.43	-0.28	-0.05	0.13	-0.55	-0.49	-0.95	-0.97	-1.44	-1.47	-1.58	-1.59	-0.01	-0.09	0.29
AGAP028689	-0.31	0.22	0.61	0.17	-0.02	0.02	-0.17	-0.3	-0.3	0.4	-0.81	-0.2	-1.43	-0.27	-1.48	-0.15	-0.68	0.39
AGAP009160	0.17	-0.14	-0.35	-0.12	0.06	0.16	0.25	-0.03	-0.18	-0.42	-0.18	-0.38	-0.15	-0.43	-0.2	-0.15	-0.3	0.0
AGAP001545	-0.15	-0.09	0.02	-0.06	0.15	-0.01	-0.53	0.04	0.12	0.0	0.16	0.09	0.24	-0.04	0.12	0.42	0.35	-0.12
