GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN022018	0.0	0.798	0.0	0.0	0.0
AFUN021767	0.0	0.086	0.0	0.001	0.0
AFUN010674	0.0	0.0	0.001	0.006	0.088
AFUN019490	0.0	0.086	0.0	0.0	0.0
AFUN005666	0.0	0.699	0.011	0.003	0.005
AFUN000108	0.0	0.001	0.066	0.212	0.0
AFUN022295	0.0	0.027	0.008	0.016	0.039
AFUN000118	0.0	0.28	0.006	0.0	0.006
AFUN002163	0.0	0.488	0.034	0.422	0.051
AFUN021782	0.0	0.002	0.0	0.0	0.0
AFUN002583	0.0	0.595	0.029	0.618	0.0
AFUN020437	0.0	0.17	0.0	0.0	0.001
AFUN010737	0.0	0.035	0.0	0.001	0.014
AFUN021803	0.0	0.001	0.0	0.002	0.024
AFUN018514	0.0	0.186	0.0	0.04	0.0
AFUN011518	0.0	0.0	0.0	0.0	0.0
AFUN019099	0.0	0.034	0.011	0.424	0.0
AFUN000993	0.0	0.028	0.003	0.004	0.009
AFUN007526	0.0	0.608	0.0	0.026	0.002
AFUN021212	0.0	0.06	0.0	0.0	0.0
AFUN020756	0.0	0.004	0.0	0.0	0.0
AFUN008941	0.0	0.0	0.0	0.0	0.051
AFUN016679	0.0	0.224	0.0	0.019	0.0
AFUN009476	0.0	0.042	0.053	0.539	0.583
AFUN002190	0.0	0.0	0.0	0.0	0.001
AFUN021301	0.0	0.003	0.013	0.0	0.0
AFUN003105	0.0	0.037	0.004	0.004	0.0
AFUN007588	0.0	0.048	0.0	0.005	0.0
AFUN011253	0.0	0.011	0.003	0.033	0.0
AFUN004976	0.0	0.148	0.01	0.865	0.001
AFUN008684	0.0	0.162	0.0	0.001	0.047
AFUN008996	0.0	0.0	0.0	0.0	0.002
AFUN021766	0.0	0.017	0.0	0.0	0.0
AFUN000014	0.0	0.025	0.013	0.0	0.0
AFUN009869	0.0	0.077	0.111	0.007	0.027
AFUN005067	0.0	0.678	0.175	0.058	0.145
AFUN009327	0.0	0.005	0.0	0.0	0.0
AFUN016164	0.0	0.012	0.121	0.005	0.0
AFUN009993	0.0	0.0	0.002	0.001	0.0
AFUN009519	0.0	0.366	0.0	0.001	0.006
AFUN007891	0.0	0.0	0.015	0.101	0.001
AFUN002048	0.0	0.0	0.0	0.0	0.0
AFUN011021	0.0	0.0	0.0	0.0	0.0
AFUN010171	0.0	0.634	0.032	0.072	0.035
AFUN019570	0.0	0.2	0.0	0.0	0.0
AFUN018856	0.0	0.062	0.027	0.035	0.029
AFUN021657	0.0	0.204	0.004	0.066	0.0
AFUN010447	0.0	0.118	0.0	0.0	0.001
AFUN001074	0.0	0.0	0.0	0.0	0.0
AFUN006450	0.0	0.008	0.0	0.0	0.002
AFUN007491	0.0	0.108	0.0	0.0	0.0
AFUN018499	0.0	0.429	0.0	0.046	0.0
AFUN003698	0.0	0.366	0.0	0.003	0.002
AFUN010022	0.0	0.0	0.0	0.0	0.0
AFUN019366	0.0	0.008	0.0	0.0	0.0
AFUN007357	0.0	0.085	0.002	0.018	0.075
AFUN020886	0.0	0.128	0.0	0.0	0.0
AFUN008559	0.0	0.025	0.004	0.041	0.003
AFUN003887	0.0	0.0	0.0	0.0	0.001
AFUN020584	0.0	0.384	0.0	0.0	0.0
AFUN021623	0.0	0.003	0.0	0.029	0.0
AFUN006520	0.0	0.037	0.0	0.0	0.0
AFUN020549	0.0	0.242	0.0	0.0	0.0
AFUN008368	0.0	0.81	0.469	0.414	0.928
AFUN018863	0.0	0.027	0.0	0.063	0.0
AFUN015922	0.0	0.29	0.245	0.051	0.809
AFUN000763	0.0	0.001	0.0	0.0	0.0
AFUN020139	0.0	0.033	0.0	0.01	0.0
AFUN019290	0.0	0.005	0.0	0.0	0.0
AFUN020239	0.0	0.049	0.0	0.0	0.007
AFUN019645	0.0	0.009	0.151	0.085	0.006
AFUN008293	0.0	0.414	0.0	0.001	0.0
AFUN019778	0.0	0.722	0.007	0.038	0.048
AFUN009304	0.0	0.048	0.0	0.008	0.007
AFUN021517	0.0	0.023	0.0	0.0	0.0
AFUN007122	0.0	0.0	0.001	0.0	0.0
AFUN020127	0.0	0.171	0.0	0.0	0.004
AFUN003187	0.0	0.005	0.004	0.021	0.012
AFUN018472	0.0	0.201	0.0	0.171	0.0
AFUN008866	0.0	0.059	0.021	0.012	0.071
AFUN001001	0.0	0.015	0.001	0.0	0.0
AFUN020335	0.0	0.258	0.0	0.3	0.0
AFUN019600	0.0	0.017	0.0	0.005	0.0
AFUN003161	0.0	0.21	0.0	0.002	0.075
AFUN021523	0.0	0.029	0.005	0.001	0.006
AFUN004458	0.0	0.008	0.006	0.0	0.011
AFUN009855	0.0	0.0	0.0	0.0	0.001
AFUN010122	0.0	0.01	0.0	0.0	0.0
AFUN001559	0.0	0.114	0.0	0.003	0.0
AFUN009627	0.0	0.042	0.0	0.077	0.0
AFUN008561	0.0	0.111	0.315	0.192	0.312
AFUN006420	0.0	0.029	0.039	0.0	0.0
AFUN001781	0.0	0.048	0.033	0.066	0.285
AFUN008495	0.0	0.403	0.0	0.594	0.0
AFUN010431	0.0	0.177	0.0	0.0	0.0
AFUN003801	0.0	0.0	0.002	0.018	0.001
AFUN000204	0.0	0.003	0.001	0.016	0.0
AFUN007902	0.0	0.208	0.0	0.001	0.0
AFUN006180	0.0	0.017	0.007	0.04	0.007
AFUN018706	0.0	0.041	0.01	0.0	0.0
AFUN020747	0.0	0.021	0.284	0.336	0.366
AFUN019419	0.0	0.0	0.003	0.001	0.108
AFUN020532	0.0	0.09	0.0	0.008	0.0
AFUN004613	0.0	0.06	0.083	0.198	0.676
AFUN020273	0.0	0.092	0.0	0.027	0.0
AFUN003819	0.0	0.868	0.0	0.008	0.0
AFUN005304	0.0	0.007	0.0	0.0	0.0
AFUN000623	0.0	0.197	0.004	0.114	0.327
